platform,release_date,game_name,db_name,year
2600,1981,Super Breakout,Super Breakout,1981
PS3,3-Jun-08,Robert Ludlum's: The Bourne Conspiracy,Robert Ludlum's The Bourne Conspiracy,2008
X360,3-Jun-08,Robert Ludlum's: The Bourne Conspiracy,Robert Ludlum's The Bourne Conspiracy,2008
Wii,7-Sep-10,NHL Slapshot,NHL Slapshot,2010
PC,1-May-12,Tera,TERA,2012
PS2,5-Jul-01,Harvest Moon: Save the Homeland,Harvest Moon: Save the Homeland,2001
PS3,1-Nov-11,Harvest Moon: Save the Homeland,Harvest Moon: Save the Homeland,2011
2600,1978,Hangman,Hangman,1978
PC,7-Oct-02,NBA Live 2003,NBA Live 2003,2002
PS,7-Oct-02,NBA Live 2003,NBA Live 2003,2002
PS2,7-Oct-02,NBA Live 2003,NBA Live 2003,2002
XB,7-Oct-02,NBA Live 2003,NBA Live 2003,2002
GC,7-Oct-02,NBA Live 2003,NBA Live 2003,2002
GBA,24-Jul-02,Cubix: Robots for Everyone - Clash 'n Bash,Cubix Robots for Everyone: Clash 'n' Bash,2002
PC,26-Aug-11,Tropico 4,Tropico 4,2011
X360,21-Oct-11,Tropico 4,Tropico 4,2011
PC,2012,Bejeweled 3,Bejeweled 3,2012
PS3,15-Nov-11,Bejeweled 3,Bejeweled 3,2011
X360,19-Oct-11,Bejeweled 3,Bejeweled 3,2011
DS,15-Nov-11,Bejeweled 3,Bejeweled 3,2011
N64,TBD,Custom Robo,Custom Robo,1999
PC,7-Nov-02,Final Fantasy XI Online,Final Fantasy XI,2002
PS2,28-Oct-03,Final Fantasy XI Online,Final Fantasy XI,2003
X360,17-Sep-04,Final Fantasy XI Online,Final Fantasy XI,2004
PC,25-Jun-10,Singularity,Singularity,2010
PS3,1-Jul-10,Singularity,Singularity,2010
X360,25-Jun-10,Singularity,Singularity,2010
2600,1-Feb-80,Dragster,Dragster,1980
PS2,8-Apr-04,All-Star Baseball 2005,All-Star Baseball 2005,2004
XB,23-Mar-04,All-Star Baseball 2005,All-Star Baseball 2005,2004
PC,19-Nov-02,Star Wars: Jedi Knight II - Jedi Outcast,Star Wars Jedi Knight II: Jedi Outcast,2002
XB,19-Nov-02,Star Wars: Jedi Knight II - Jedi Outcast,Star Wars Jedi Knight II: Jedi Outcast,2002
GC,26-Mar-02,Star Wars: Jedi Knight II - Jedi Outcast,Star Wars Jedi Knight II: Jedi Outcast,2002
2600,1979,Slot Machine,Slot Machine,1979
PS,7-Dec-00,The Dukes of Hazzard II: Daisy Dukes it Out,The Dukes of Hazzard II: Daisy Dukes It Out,2000
DS,8-Jul-10,Harvest Moon: The Tale of Two Towns,Harvest Moon: The Tale of Two Towns,2010
3DS,20-Sep-11,Harvest Moon: The Tale of Two Towns,Harvest Moon: The Tale of Two Towns,2011
DS,15-May-07,Shrek the Third,Shrek the Third,2007
GBA,8-May-07,Shrek the Third,Shrek the Third,2007
PS2,24-Oct-06,Nicktoons: Battle for Volcano Island,Nicktoons: Battle for Volcano Island,2006
GC,24-Oct-06,Nicktoons: Battle for Volcano Island,Nicktoons: Battle for Volcano Island,2006
PS2,18-Nov-02,Haven: Call of the King,Haven: Call of the King,2002
XB,22-Nov-02,Haven: Call of the King,Haven: Call of the King,2002
GC,TBD,Haven: Call of the King,Haven: Call of the King,
XB,18-Apr-05,Unreal Championship 2: The Liandri Conflict,Unreal Championship 2: The Liandri Conflict,2005
PC,14-Nov-05,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005
PS2,14-Nov-05,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005
XB,14-Nov-05,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005
GC,14-Nov-05,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005
PS2,3-Sep-02,Pac-Man Fever,Pac-Man Fever,2002
GC,3-Sep-02,Pac-Man Fever,Pac-Man Fever,2002
2600,1977,Indy 500,Indy 500,1977
PSV,20-Apr-12,Disgaea 3: Absence of Detention,Disgaea 3: Absence of Detention,2012
2600,1978,Flag Capture,Flag Capture,1978
X360,16-Nov-05,Gun,Gun,2005
Wii,15-Oct-08,Rock Revolution,Rock Revolution,2008
PS3,11-Nov-08,Rock Revolution,Rock Revolution,2008
X360,22-May-09,Rock Revolution,Rock Revolution,2009
PS2,30-Nov-05,College Hoops 2K6,College Hoops 2K6,2005
XB,23-Nov-05,College Hoops 2K6,College Hoops 2K6,2005
X360,21-Nov-05,College Hoops 2K6,College Hoops 2K6,2005
PC,26-Aug-11,Rugby Challenge,Jonah Lomu Rugby Challenge,2011
PS3,26-Aug-11,Rugby Challenge,Jonah Lomu Rugby Challenge,2011
X360,27-Jun-12,Rugby Challenge,Jonah Lomu Rugby Challenge,2012
PSV,26-Aug-13,Rugby Challenge,Jonah Lomu Rugby Challenge,2013
PS2,10-Jan-06,Mega Man X Collection,Mega Man X Collection,2006
GC,10-Jan-06,Mega Man X Collection,Mega Man X Collection,2006
PC,9-Feb-10,BioShock 2,BioShock 2,2010
PS3,9-Feb-10,BioShock 2,BioShock 2,2010
X360,4-Mar-10,BioShock 2,BioShock 2,2010
PC,25-Nov-10,Danganronpa: Trigger Happy Havoc,Danganronpa: Trigger Happy Havoc,2010
PSP,16-Feb-14,Danganronpa: Trigger Happy Havoc,Danganronpa: Trigger Happy Havoc,2014
PSV,18-Mar-16,Danganronpa: Trigger Happy Havoc,Danganronpa: Trigger Happy Havoc,2016
Wii,14-Nov-06,Tony Hawk's Downhill Jam,Tony Hawk's Downhill Jam,2006
PS2,8-May-07,Tony Hawk's Downhill Jam,Tony Hawk's Downhill Jam,2007
PS2,23-Oct-02,Tribes: Aerial Assault,Tribes: Aerial Assault,2002
Wii,18-Jul-10,Big Beach Sports 2,Big Beach Sports 2,2010
PS2,24-Oct-04,Yu Yu Hakusho: Ghost Files - Dark Tournament,Yu Yu Hakusho: Dark Tournament,2004
PS2,23-Sep-02,Robotech: Battlecry,Robotech: Battlecry,2002
XB,23-Sep-02,Robotech: Battlecry,Robotech: Battlecry,2002
GC,11-Oct-02,Robotech: Battlecry,Robotech: Battlecry,2002
PS3,22-Aug-12,Move Fitness,Move Fitness,2012
PSP,27-Jan-11,Valkyria Chronicles 3: Unrecorded Chronicles,Valkyria Chronicles III: Unrecorded Chronicles,2011
PC,8-Oct-15,WRC 5 FIA World Rally Championship,WRC: FIA World Rally Championship,2015
PS3,13-Oct-15,WRC 5 FIA World Rally Championship,WRC: FIA World Rally Championship,2015
X360,13-Oct-15,WRC 5 FIA World Rally Championship,WRC: FIA World Rally Championship,2015
PSV,13-Oct-15,WRC 5 FIA World Rally Championship,WRC: FIA World Rally Championship,2015
N64,28-Nov-97,Famista 64,Famista 64,1997
PC,5-Feb-13,Dead Space 3,Dead Space 3,2013
PS3,5-Feb-13,Dead Space 3,Dead Space 3,2013
X360,5-Feb-13,Dead Space 3,Dead Space 3,2013
3DS,18-Nov-11,Pet Zombies,Pet Zombies,2011
PC,15-Dec-06,Star Trek: Legacy,Star Trek: Legacy,2006
X360,22-Dec-06,Star Trek: Legacy,Star Trek: Legacy,2006
PS3,1-Jun-10,Backbreaker,Backbreaker,2010
X360,1-Jun-10,Backbreaker,Backbreaker,2010
PS,26-Nov-01,Twisted Metal: Small Brawl,Twisted Metal: Small Brawl,2001
X360,21-Apr-11,Otomedius Excellent,Otomedius Excellent,2011
PS2,29-Nov-02,NBA Starting Five,NBA Starting Five,2002
XB,27-Oct-02,NBA Starting Five,NBA Starting Five,2002
GBA,16-Oct-05,Teen Titans,Teen Titans,2005
Wii,18-May-10,Trauma Team,Trauma Team,2010
PS2,27-Jun-02,Kengo 2: Sword of the Samurai,Sword of the Samurai,2002
PS3,14-Feb-03,Kengo 2: Sword of the Samurai,Sword of the Samurai,2003
PS3,23-Nov-10,Splatterhouse,Splatterhouse,2010
X360,25-Nov-10,Splatterhouse,Splatterhouse,2010
PS,18-May-01,Alone in the Dark: The New Nightmare,Alone in the Dark: The New Nightmare,2001
Wii,24-Dec-09,Vegas Party,Vegas Party,2009
PC,15-Nov-11,Jurassic Park: The Game,Jurassic Park: The Game,2011
PS3,15-Nov-11,Jurassic Park: The Game,Jurassic Park: The Game,2011
X360,15-Nov-11,Jurassic Park: The Game,Jurassic Park: The Game,2011
2600,1978,Home Run,Home Run,1978
PS2,30-Aug-03,Ejay Clubworld,eJay Clubworld,2003
Wii,22-Oct-09,Our House: Party!,Our House Party!,2009
N64,1-Dec-00,WCW Backstage Assault,WCW Backstage Assault,2000
PS,1-Dec-00,WCW Backstage Assault,WCW Backstage Assault,2000
GBA,20-Oct-05,Disney's Cinderella: Magical Dreams,Disney's Cinderella: Magical Dreams,2005
PS2,14-Nov-01,TransWorld Surf,Transworld Surf,2001
XB,30-Apr-02,TransWorld Surf,Transworld Surf,2002
PC,20-Feb-09,Street Fighter IV,Street Fighter IV,2009
PS3,12-Feb-09,Street Fighter IV,Street Fighter IV,2009
X360,18-Jul-08,Street Fighter IV,Street Fighter IV,2008
GC,7-Feb-03,Nintendo Puzzle Collection,Nintendo Puzzle Collection,2003
DS,20-Oct-09,Charm Girls Club: My Fashion Mall,Charm Girls Club: My Fashion Mall,2009
PC,29-Jul-10,Record of Agarest War Zero,Record of Agarest War Zero,2010
PS3,14-Jun-11,Record of Agarest War Zero,Record of Agarest War Zero,2011
X360,17-Apr-14,Record of Agarest War Zero,Record of Agarest War Zero,2014
PC,18-Oct-11,Rocksmith,Rocksmith,2011
PS3,18-Oct-11,Rocksmith,Rocksmith,2011
X360,16-Oct-12,Rocksmith,Rocksmith,2012
PS2,13-Jul-06,Ape Escape: Million Monkeys,Saru! Get You! Million Monkeys,2006
PS2,12-Aug-02,Street Hoops,Street Hoops,2002
XB,12-Aug-02,Street Hoops,Street Hoops,2002
GC,12-Aug-02,Street Hoops,Street Hoops,2002
PS2,12-Dec-02,Godzilla: Destroy All Monsters Melee,Godzilla: Destroy All Monsters Melee,2002
XB,16-Apr-03,Godzilla: Destroy All Monsters Melee,Godzilla: Destroy All Monsters Melee,2003
GC,8-Oct-02,Godzilla: Destroy All Monsters Melee,Godzilla: Destroy All Monsters Melee,2002
Wii,9-Mar-10,The Daring Game for Girls,The Daring Game for Girls,2010
